Time,SAP_FLUX,PDCSAP_FLUX
288.2747752915602,1032503.0,1040523.7
288.2754563680428,1032525.2,1040546.06
288.2761373445319,1032326.25,1040345.0
288.2768185208988,1032378.94,1040398.2
288.2774995973814,1032722.5,1040745.1
288.278180673864,1032598.5,1040619.8
288.27886175034655,1032545.3,1040566.0
288.2795429268299,1032657.2,1040678.9
288.28022400331974,1032662.44,1040684.1
288.2809050798023,1032412.2,1040431.25
288.2815861562849,1032370.0,1040388.56
288.2822672327675,1032390.4,1040409.06
288.28294830925006,1032652.5,1040673.6
288.2836293857399,1032349.8,1040367.75
288.28431056222325,1032566.2,1040586.25
288.28499163870583,1032234.9,1040251.56
288.2856727151884,1032559.6,1040579.4
288.28635389167175,1032580.4,1040600.2
288.28703486816084,1032475.25,1040493.94
288.2877159446434,1032516.2,1040535.2
288.28839712112676,1032782.3,1040803.8
288.28907819760934,1032580.5,1040599.9
288.2897592739755,1032876.44,1040898.7
288.29044045045885,1032574.44,1040593.6
288.2911215269487,1032683.2,1040703.3
288.29180270343204,1032634.94,1040654.44
288.29248367991386,1032488.9,1040506.94
288.29316475639644,1032341.4,1040357.9
288.293845832879,1032583.75,1040602.6
288.29452700936963,1032664.5,1040684.1
288.2952080858522,1032373.3,1040390.0
288.29588926233555,1032887.94,1040909.6
288.2965703388181,,
288.2972514153007,,
288.2979323916734,,
288.2986135681567,,
288.2992946446393,,
288.2999757211219,,
288.3006568976052,,
288.3013379740878,,
288.3020191505784,,
288.302700227061,,
288.3033812035428,,
288.3040622800254,1032440.7,
288.30474345650873,1032373.6,1040390.6
288.3054245329986,1032744.75,1040765.56
288.30610560936475,1032620.8,1040640.44
288.3067867858481,1032457.5,1040475.56
288.30746786233067,1032592.94,1040612.4
288.30814893881325,1032285.5,1040301.94
288.3088300153031,1032194.44,1040210.0
288.3095110917857,1032343.9,1040361.0
288.31019216826826,1032417.75,1040435.6
288.31087324475084,1032566.1,1040585.44
288.3115544212342,1032224.94,1040240.9
288.31223549760034,1032582.9,1040602.25
288.3129165740902,1032487.9,1040506.25
288.31359775057354,1032474.94,1040493.1
288.3142788270561,1032573.56,1040592.56
288.31495980353793,1032709.5,1040729.75
288.31564098002127,1032606.8,1040625.9
288.3163220565111,1032397.3,1040414.1
288.3170031329937,1032444.0,1040461.0
288.31768430947704,1032476.56,1040493.56
288.3183653858432,1032746.5,1040765.94
288.3190464623258,1032413.06,1040428.8
288.3197276388091,1032545.0,1040561.6
288.3204086152982,1032331.5,1040345.6
288.3210896917808,1032535.25,1040550.94
288.32177086826414,1032512.3,1040527.25
288.3224519447467,1032312.06,1040324.5
288.3231330212366,1032330.3,1040342.3
288.3238141976035,1032255.56,1040266.25
288.3244952740861,1032444.0,1040455.94
288.3251764505694,1032093.0,1040100.9
288.32585742705123,1032412.1,1040422.56
288.3265385035338,1032347.0,1040356.1
288.32721958002367,1032146.8,1040153.4
288.327900756507,1032363.7,1040371.75
288.3285818329896,1032424.6,1040432.8
288.32926290935575,1032621.1,1040630.7
288.3299440858391,1032346.6,1040352.9
288.33062516232894,1032590.75,1040599.0
288.33130613881076,1032320.1,1040325.2
288.3319873152941,1032434.7,1040440.5
288.3326683917767,1032404.5,1040409.6
288.33334946825926,1032607.06,1040613.94
288.3340306446262,1032570.44,1040576.7
288.33471172111604,1032553.1,1040559.0
288.3353927975986,1032486.8,1040491.9
288.33607397408196,1032577.06,1040583.0
288.3367549505638,1032315.75,1040319.1
288.3374360270536,1032725.4,1040732.94
288.3381171035362,1032927.8,1040937.7
288.33879827990313,1032644.75,1040652.06
288.3394793563857,1032667.4,1040675.3
288.3401604328683,1032748.2,1040757.5
288.3408416093516,1032632.06,1040640.9
288.3415226858415,1032667.1,1040676.94
288.3422036623233,1032738.9,1040750.4
288.34288483880664,1032368.2,1040376.94
288.3435659151728,1032459.94,1040470.6
288.3442469916554,1032584.9,1040597.9
288.3449281681387,1032633.4,1040648.1
288.3456092446286,1032463.2,1040477.4
288.34629032111116,1032708.1,1040726.1
288.3469714975945,1032564.6,1040582.56
288.3476524739599,1032632.3,1040652.25
288.34833355044975,1032514.5,1040534.6
288.34901462693233,1032711.5,1040735.0
288.34969580341567,1032501.6,1040524.5
288.35037687989825,1032651.8,1040677.56
288.3510580563816,1032843.2,1040872.25
288.35173913274775,1032594.44,1040622.4
288.3524202092376,1032400.4,1040427.7
288.3531011857194,1032727.9,1040759.8
288.35378236220276,1032613.3,1040645.4
288.35446343868534,1032830.9,1040866.3
288.3551446151687,1032739.7,1040775.4
288.3558256915421,1032499.75,1040534.1
288.3565067680247,1032566.56,1040602.6
288.35718794450804,1032336.9,1040371.5
288.3578690209906,1032588.4,1040626.4
288.35854999747244,1032374.1,1040410.75
288.35923117383936,1032556.4,1040595.4
288.3599122503292,1032135.75,1040171.0
288.3605933268118,1032492.44,1040531.6
288.36127450329514,1032481.1,1040520.4
288.3619555797777,1032123.0,1040158.75
288.3626366562603,1032455.75,1040494.7
288.3633178326345,1032331.7,1040369.25
288.3639988091163,1032351.25,1040388.7
288.3646798855989,1032475.44,1040513.6
288.36536096208147,1032501.06,1040539.06
288.3660421385648,1032416.9,1040453.44
288.36672321493825,1032398.0,1040433.6
288.3674042914208,1032453.5,1040489.0
288.36808546790417,1032391.8,1040425.8
288.36876654438674,1032272.3,1040304.25
288.36944752086856,1032352.06,1040383.94
288.37012869724276,1032310.75,1040341.2
288.37080977372534,1032419.1,1040449.6
288.3714908502079,1032332.5,1040361.2
288.3721719266905,1032454.4,1040483.3
288.37285310317384,1032391.1,1040418.3
288.37353417954,1032387.7,1040413.8
288.37421525602986,1032788.56,1040817.75
288.3748964325132,1032691.5,1040718.75
288.375577408995,1032576.3,1040601.44
288.3762584854776,1032543.25,1040567.2
288.3769396618445,1032655.3,1040679.5
288.3776207383344,1032419.94,1040441.0
288.37830181481695,1032481.94,1040502.94
288.3789829913003,1032652.06,1040674.06
288.37966406766645,1032478.1,1040497.9
288.3803452441498,1032740.56,1040762.44
288.3810261206381,1032532.9,1040552.3
288.38170729712147,1032445.75,1040464.1
288.38238837360404,1032447.0,1040465.25
288.38306954997097,1032553.6,1040572.9
288.38375062645355,1032510.4,1040529.25
288.3844318029369,1032415.2,1040433.3
288.38511287942674,1032497.8,1040517.0
288.3857939557929,1032342.0,1040359.94
288.3864749322747,1032505.6,1040525.56
288.38715610875806,1032589.8,1040611.06
288.38783718524064,1032178.6,1040196.25
288.3885182617305,1032429.8,1040450.44
288.3891994380974,1032348.4,1040368.8
288.38988051458,1032623.5,1040647.2
288.3905615910626,1032591.1,1040615.25
288.3912427675459,1032641.7,1040666.94
288.3919237439186,1032288.1,1040310.5
288.3926048204012,1032521.94,1040547.3
288.3932859968845,1032687.44,1040715.06
288.3939670733671,1032580.5,1040607.7
288.3946481498497,1032182.6,1040206.5
288.3953293262166,1032382.7,1040409.2
288.39601040270645,1032140.56,1040165.2
288.39669147918903,1032241.94,1040268.06
288.3973725556716,1032202.1,1040228.3
288.3980536320378,1032175.94,1040202.25
288.39873470852035,1032670.75,1040702.4
288.3994157850102,1032563.0,1040593.8
288.40009696149355,1032297.94,1040326.4
288.4007780378597,1032582.0,1040613.25
288.4014591143423,1032548.75,1040579.75
288.4021402908256,1032479.94,1040510.1
288.4028212673147,1032832.7,1040866.2
288.4035023436809,1032713.0,1040745.06
288.40418342016346,1032427.6,1040456.44
288.4048645966468,1032445.7,1040474.25
288.4055456731294,1032414.25,1040441.94
288.4062268494963,1032505.0,1040533.0
288.40690792598616,1032459.56,1040486.56
288.40758900246874,1032332.56,1040357.56
288.40826997895056,1032317.3,1040341.5
288.4089511553175,1032643.5,1040670.2
288.40963223180734,1032590.4,1040615.8
288.4103134082907,1032343.75,1040365.94
288.41099448477325,1032551.06,1040574.56
288.4116755611394,1032537.75,1040560.4
288.41235673762276,1032690.06,1040713.44
288.41303781410534,1032582.5,1040604.1
288.413718790478,1032701.7,1040723.75
288.41439996696135,1032605.9,1040626.44
288.41508104344393,1032402.8,1040420.7
288.4157621199265,1032371.1,1040388.2
288.41644329629344,1032682.3,1040702.0
288.4171243727833,1032552.44,1040570.5
288.41780544926587,1032666.5,1040685.4
288.4184866256328,1032917.75,1040938.94
288.4191676021146,1032707.94,1040726.9
288.4198486785972,1032565.94,1040583.5
288.42052985508053,1032367.75,1040383.3
288.42121093145397,1032642.9,1040661.44
